Country,Continent,Education,Years of Education,,,Continent,Education,Years of Education,,,,,,,,,,,,,,
Guinea-Bissau,Africa,Mean,2.8,,,Europe,Mean,11.15128,,,2.8,9,4.4,10.9,,,,,,,,
Mali,Africa,Mean,2,,,Europe,Mean,11.15128,,,2,8.4,3.3,12.4,,,,,,,,
Mozambique,Africa,Mean,3.2,,,Europe,Mean,11.15128,,,3.2,9.3,4.7,7.8,,,,,,,,
Sierra Leone,Africa,Mean,3.1,,,Europe,Mean,11.15128,,,3.1,8.6,4.1,8.6,,,,,,,,
Guinea,Africa,Mean,2.4,,,Europe,Expected,15.49487,,,2.4,8.7,2.6,9.2,,,,,,,,
Burkina Faso,Africa,Mean,1.4,,,Europe,Expected,15.49487,,,1.4,7.8,3.2,9.3,,,,,,,,
Burundi,Africa,Mean,2.7,,,Europe,Expected,15.49487,,,2.7,10.1,8.185416667,12.8625,,,,,,,,
Chad,Africa,Mean,1.9,,,Europe,Expected,15.49487,,,1.9,7.4,,,,,,,,,,
Eritrea,Africa,Mean,3.9,,,Europe,Expected,15.49487,,,3.9,4.1,,,,,,,,,,
Central African Republic,Africa,Mean,4.2,,,Europe,Expected,15.49487,,,4.2,7.2,,,,,,,,,,
Niger,Africa,Mean,1.5,,,Europe,Expected,15.49487,,,1.5,5.4,,,,,,,,,,
Mauritius,Africa,Expected,15.6,,,Europe,Expected,15.49487,,,5.00754717,10.29622642,,,,,,,,,,
Seychelles,Africa,Expected,13.4,,,Europe,Expected,15.49487,,,,,,,,,,,,,,
Algeria,Africa,Expected,14,,,Europe,Expected,15.49487,,,,,,,,,,,,,,
Libya,Africa,Expected,14,,,Europe,Expected,15.49487,,,,,,,,,,,,,,
Tunisia,Africa,Expected,14.6,,,Europe,Expected,15.49487,,,,,,,,,,,,,,
Botswana,Africa,Expected,12.5,,,Europe,Expected,15.49487,,,,,,,,,,,,,,
Egypt,Africa,Expected,13.5,,,Europe,Expected,15.49487,,,,,,,,,,,,,,
Gabon,Africa,Expected,12.5,,,Europe,Expected,15.49487,,,,,,,,,,,,,,
South Africa,Africa,Expected,13.6,,,North America,Mean,9.080769,,,,,,,,,,,,,,
Cabo Verde,Africa,Expected,13.5,,,North America,Mean,9.080769,,,,,,,,,,,,,,
Morocco,Africa,Expected,11.6,,,North America,Mean,9.080769,,,,,,,,,,,,,,
Namibia,Africa,Expected,11.3,,,North America,Mean,9.080769,,,,,,,,,,,,,,
Congo,Africa,Expected,11.1,,,North America,Mean,9.080769,,,,,,,,,,,,,,
Equatorial Guinea,Africa,Expected,9,,,North America,Mean,9.080769,,,,,,,,,,,,,,
Zambia,Africa,Expected,13.5,,,North America,Mean,9.080769,,,,,,,,,,,,,,
Ghana,Africa,Expected,11.5,,,North America,Mean,9.080769,,,,,,,,,,,,,,
Sao Tome and Principe,Africa,Expected,11.3,,,North America,Mean,9.080769,,,,,,,,,,,,,,
Kenya,Africa,Expected,11,,,North America,Expected,13.52692,,,,,,,,,,,,,,
Angola,Africa,Expected,11.4,,,North America,Expected,13.52692,,,,,,,,,,,,,,
Swaziland,Africa,Expected,11.3,,,North America,Expected,13.52692,,,,,,,,,,,,,,
Tanzania (United Republic of),Africa,Expected,9.2,,,North America,Expected,13.52692,,,,,,,,,,,,,,
Nigeria,Africa,Expected,9,,,North America,Expected,13.52692,,,,,,,,,,,,,,
Cameroon,Africa,Expected,10.4,,,North America,Expected,13.52692,,,,,,,,,,,,,,
Madagascar,Africa,Expected,10.3,,,North America,Expected,13.52692,,,,,,,,,,,,,,
Zimbabwe,Africa,Expected,10.9,,,North America,Expected,13.52692,,,,,,,,,,,,,,
Mauritania,Africa,Expected,8.5,,,North America,Expected,13.52692,,,,,,,,,,,,,,
Comoros,Africa,Expected,11.5,,,North America,Expected,13.52692,,,,,,,,,,,,,,
Lesotho,Africa,Expected,11.1,,,North America,Expected,13.52692,,,,,,,,,,,,,,
Togo,Africa,Expected,12.2,,,North America,Expected,13.52692,,,,,,,,,,,,,,
Rwanda,Africa,Expected,10.3,,,North America,Expected,13.52692,,,,,,,,,,,,,,
Uganda,Africa,Expected,9.8,,,Oceania,Mean,9.2727,,,,,,,,,,,,,,
Benin,Africa,Expected,11.1,,,Oceania,Mean,9.2727,,,,,,,,,,,,,,
Sudan,Africa,Expected,7,,,Oceania,Mean,9.2727,,,,,,,,,,,,,,
Djibouti,Africa,Expected,6.4,,,Oceania,Mean,9.2727,,,,,,,,,,,,,,
South Sudan,Africa,Expected,7.6,,,Oceania,Mean,9.2727,,,,,,,,,,,,,,
Senegal,Africa,Expected,7.9,,,Oceania,Mean,9.2727,,,,,,,,,,,,,,
C̫te d'Ivoire,Africa,Expected,8.9,,,Oceania,Mean,9.2727,,,,,,,,,,,,,,
Malawi,Africa,Expected,10.8,,,Oceania,Mean,9.2727,,,,,,,,,,,,,,
Ethiopia,Africa,Expected,8.5,,,Oceania,Mean,9.2727,,,,,,,,,,,,,,
Gambia,Africa,Expected,8.8,,,Oceania,Expected,13.64545,,,,,,,,,,,,,,
Congo (Democratic Republic of the),Africa,Expected,9.8,,,Oceania,Expected,13.64545,,,,,,,,,,,,,,
Liberia,Africa,Expected,9.5,,,Oceania,Expected,13.64545,,,,,,,,,,,,,,
Guinea-Bissau,Africa,Expected,9,,,Oceania,Expected,13.64545,,,,,,,,,,,,,,
Mali,Africa,Expected,8.4,,,Oceania,Expected,13.64545,,,,,,,,,,,,,,
Mozambique,Africa,Expected,9.3,,,Oceania,Expected,13.64545,,,,,,,,,,,,,,
Sierra Leone,Africa,Expected,8.6,,,Oceania,Expected,13.64545,,,,,,,,,,,,,,
Guinea,Africa,Expected,8.7,,,Oceania,Expected,13.64545,,,,,,,,,,,,,,
Burkina Faso,Africa,Expected,7.8,,,Oceania,Expected,13.64545,,,,,,,,,,,,,,
Burundi,Africa,Expected,10.1,,,Oceania,Expected,13.64545,,,,,,,,,,,,,,
Chad,Africa,Expected,7.4,,,Oceania,Expected,13.64545,,,,,,,,,,,,,,
Eritrea,Africa,Expected,4.1,,,Oceania,Expected,13.64545,,,,,,,,,,,,,,
Central African Republic,Africa,Expected,7.2,,,Oceania,Expected,13.64545,,,,,,,,,,,,,,
Niger,Africa,Expected,5.4,,,South America,Mean,8.490909,,,,,,,,,,,,,,
Singapore,Asia,Mean,10.6,,,South America,Mean,8.490909,,,,,,,,,,,,,,
"Hong Kong, China (SAR)",Asia,Mean,11.2,,,South America,Mean,8.490909,,,,,,,,,,,,,,
Korea (Republic of),Asia,Mean,11.9,,,South America,Mean,8.490909,,,,,,,,,,,,,,
Israel,Asia,Mean,12.5,,,South America,Mean,8.490909,,,,,,,,,,,,,,
Japan,Asia,Mean,11.5,,,South America,Mean,8.490909,,,,,,,,,,,,,,
Brunei Darussalam,Asia,Mean,8.8,,,South America,Mean,8.490909,,,,,,,,,,,,,,
Qatar,Asia,Mean,9.1,,,South America,Mean,8.490909,,,,,,,,,,,,,,
Saudi Arabia,Asia,Mean,8.7,,,South America,Expected,13.94545,,,,,,,,,,,,,,
United Arab Emirates,Asia,Mean,9.5,,,South America,Expected,13.94545,,,,,,,,,,,,,,
Bahrain,Asia,Mean,9.4,,,South America,Expected,13.94545,,,,,,,,,,,,,,
Kuwait,Asia,Mean,7.2,,,South America,Expected,13.94545,,,,,,,,,,,,,,
Russian Federation,Asia,Mean,12,,,South America,Expected,13.94545,,,,,,,,,,,,,,
Oman,Asia,Mean,8,,,South America,Expected,13.94545,,,,,,,,,,,,,,
Kazakhstan,Asia,Mean,11.4,,,South America,Expected,13.94545,,,,,,,,,,,,,,
Malaysia,Asia,Mean,10,,,South America,Expected,13.94545,,,,,,,,,,,,,,
Lebanon,Asia,Mean,7.9,,,South America,Expected,13.94545,,,,,,,,,,,,,,
Iran (Islamic Republic of),Asia,Mean,8.2,,,South America,Expected,13.94545,,,,,,,,,,,,,,
Turkey,Asia,Mean,7.6,,,South America,Expected,13.94545,,,,,,,,,,,,,,
Sri Lanka,Asia,Mean,10.8,,,South America,Expected,13.94545,,,,,,,,,,,,,,
Georgia,Asia,Mean,12.1,,,South America,Expected,13.94545,,,,,,,,,,,,,,
Azerbaijan,Asia,Mean,11.2,,,,,,,,,,,,,,,,,,,
Jordan,Asia,Mean,9.9,,,,,,,,,,,,,,,,,,,
Armenia,Asia,Mean,10.9,,,,,,,,,,,,,,,,,,,
China,Asia,Mean,7.5,,,,,,,,,,,,,,,,,,,
Mongolia,Asia,Mean,9.3,,,,,,,,,,,,,,,,,,,
Thailand,Asia,Mean,7.3,,,,,,,,,,,,,,,,,,,
Maldives,Asia,Mean,5.8,,,,,,,,,,,,,,,,,,,
Turkmenistan,Asia,Mean,9.9,,,,,,,,,,,,,,,,,,,
Indonesia,Asia,Mean,7.6,,,,,,,,,,,,,,,,,,,
"Palestine, State of",Asia,Mean,8.9,,,,,,,,,,,,,,,,,,,
Uzbekistan,Asia,Mean,10.9,,,,,,,,,,,,,,,,,,,
Philippines,Asia,Mean,8.9,,,,,,,,,,,,,,,,,,,
Viet Nam,Asia,Mean,7.5,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,Asia,Mean,10.6,,,,,,,,,,,,,,,,,,,
Iraq,Asia,Mean,6.4,,,,,,,,,,,,,,,,,,,
Tajikistan,Asia,Mean,10.4,,,,,,,,,,,,,,,,,,,
India,Asia,Mean,5.4,,,,,,,,,,,,,,,,,,,
Bhutan,Asia,Mean,3,,,,,,,,,,,,,,,,,,,
Timor-Leste,Asia,Mean,4.4,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,Asia,Mean,6.3,,,,,,,,,,,,,,,,,,,
Lao People's Democratic Republic,Asia,Mean,5,,,,,,,,,,,,,,,,,,,
Bangladesh,Asia,Mean,5.1,,,,,,,,,,,,,,,,,,,
Cambodia,Asia,Mean,4.4,,,,,,,,,,,,,,,,,,,
Nepal,Asia,Mean,3.3,,,,,,,,,,,,,,,,,,,
Pakistan,Asia,Mean,4.7,,,,,,,,,,,,,,,,,,,
Myanmar,Asia,Mean,4.1,,,,,,,,,,,,,,,,,,,
Yemen,Asia,Mean,2.6,,,,,,,,,,,,,,,,,,,
Afghanistan,Asia,Mean,3.2,,,,,,,,,,,,,,,,,,,
Singapore,Asia,Expected,15.4,,,,,,,,,,,,,,,,,,,
"Hong Kong, China (SAR)",Asia,Expected,15.6,,,,,,,,,,,,,,,,,,,
Korea (Republic of),Asia,Expected,16.9,,,,,,,,,,,,,,,,,,,
Israel,Asia,Expected,16,,,,,,,,,,,,,,,,,,,
Japan,Asia,Expected,15.3,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,Asia,Expected,14.5,,,,,,,,,,,,,,,,,,,
Qatar,Asia,Expected,13.8,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Asia,Expected,16.3,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Asia,Expected,13.3,,,,,,,,,,,,,,,,,,,
Bahrain,Asia,Expected,14.4,,,,,,,,,,,,,,,,,,,
Kuwait,Asia,Expected,14.7,,,,,,,,,,,,,,,,,,,
Russian Federation,Asia,Expected,14.7,,,,,,,,,,,,,,,,,,,
Oman,Asia,Expected,13.6,,,,,,,,,,,,,,,,,,,
Kazakhstan,Asia,Expected,15,,,,,,,,,,,,,,,,,,,
Malaysia,Asia,Expected,12.7,,,,,,,,,,,,,,,,,,,
Lebanon,Asia,Expected,13.8,,,,,,,,,,,,,,,,,,,
Iran (Islamic Republic of),Asia,Expected,15.1,,,,,,,,,,,,,,,,,,,
Turkey,Asia,Expected,14.5,,,,,,,,,,,,,,,,,,,
Sri Lanka,Asia,Expected,13.7,,,,,,,,,,,,,,,,,,,
Georgia,Asia,Expected,13.8,,,,,,,,,,,,,,,,,,,
Azerbaijan,Asia,Expected,11.9,,,,,,,,,,,,,,,,,,,
Jordan,Asia,Expected,13.5,,,,,,,,,,,,,,,,,,,
Armenia,Asia,Expected,12.3,,,,,,,,,,,,,,,,,,,
China,Asia,Expected,13.1,,,,,,,,,,,,,,,,,,,
Mongolia,Asia,Expected,14.6,,,,,,,,,,,,,,,,,,,
Thailand,Asia,Expected,13.5,,,,,,,,,,,,,,,,,,,
Maldives,Asia,Expected,13,,,,,,,,,,,,,,,,,,,
Turkmenistan,Asia,Expected,10.8,,,,,,,,,,,,,,,,,,,
Indonesia,Asia,Expected,13,,,,,,,,,,,,,,,,,,,
"Palestine, State of",Asia,Expected,13,,,,,,,,,,,,,,,,,,,
Uzbekistan,Asia,Expected,11.5,,,,,,,,,,,,,,,,,,,
Philippines,Asia,Expected,11.3,,,,,,,,,,,,,,,,,,,
Viet Nam,Asia,Expected,11.9,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,Asia,Expected,12.5,,,,,,,,,,,,,,,,,,,
Iraq,Asia,Expected,10.1,,,,,,,,,,,,,,,,,,,
Tajikistan,Asia,Expected,11.2,,,,,,,,,,,,,,,,,,,
India,Asia,Expected,11.7,,,,,,,,,,,,,,,,,,,
Bhutan,Asia,Expected,12.6,,,,,,,,,,,,,,,,,,,
Timor-Leste,Asia,Expected,11.7,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,Asia,Expected,12.3,,,,,,,,,,,,,,,,,,,
Lao People's Democratic Republic,Asia,Expected,10.6,,,,,,,,,,,,,,,,,,,
Bangladesh,Asia,Expected,10,,,,,,,,,,,,,,,,,,,
Cambodia,Asia,Expected,10.9,,,,,,,,,,,,,,,,,,,
Nepal,Asia,Expected,12.4,,,,,,,,,,,,,,,,,,,
Pakistan,Asia,Expected,7.8,,,,,,,,,,,,,,,,,,,
Myanmar,Asia,Expected,8.6,,,,,,,,,,,,,,,,,,,
Yemen,Asia,Expected,9.2,,,,,,,,,,,,,,,,,,,
Afghanistan,Asia,Expected,9.3,,,,,,,,,,,,,,,,,,,
Norway,Europe,Mean,12.6,,,,,,,,,,,,,,,,,,,
Switzerland,Europe,Mean,12.8,,,,,,,,,,,,,,,,,,,
Germany,Europe,Mean,13.1,,,,,,,,,,,,,,,,,,,
Ireland,Europe,Mean,12.2,,,,,,,,,,,,,,,,,,,
Liechtenstein,Europe,Mean,11.8,,,,,,,,,,,,,,,,,,,
Sweden,Europe,Mean,12.1,,,,,,,,,,,,,,,,,,,
United Kingdom,Europe,Mean,13.1,,,,,,,,,,,,,,,,,,,
Iceland,Europe,Mean,10.6,,,,,,,,,,,,,,,,,,,
Luxembourg,Europe,Mean,11.7,,,,,,,,,,,,,,,,,,,
Belgium,Europe,Mean,11.3,,,,,,,,,,,,,,,,,,,
France,Europe,Mean,11.1,,,,,,,,,,,,,,,,,,,
Austria,Europe,Mean,10.8,,,,,,,,,,,,,,,,,,,
Finland,Europe,Mean,10.3,,,,,,,,,,,,,,,,,,,
Slovenia,Europe,Mean,11.9,,,,,,,,,,,,,,,,,,,
Spain,Europe,Mean,9.6,,,,,,,,,,,,,,,,,,,
Italy,Europe,Mean,10.1,,,,,,,,,,,,,,,,,,,
Czech Republic,Europe,Mean,12.3,,,,,,,,,,,,,,,,,,,
Greece,Europe,Mean,10.3,,,,,,,,,,,,,,,,,,,
Estonia,Europe,Mean,12.5,,,,,,,,,,,,,,,,,,,
Cyprus,Europe,Mean,11.6,,,,,,,,,,,,,,,,,,,
Andorra,Europe,Mean,9.6,,,,,,,,,,,,,,,,,,,
Slovakia,Europe,Mean,12.2,,,,,,,,,,,,,,,,,,,
Poland,Europe,Mean,11.8,,,,,,,,,,,,,,,,,,,
Lithuania,Europe,Mean,12.4,,,,,,,,,,,,,,,,,,,
Malta,Europe,Mean,10.3,,,,,,,,,,,,,,,,,,,
Portugal,Europe,Mean,8.2,,,,,,,,,,,,,,,,,,,
Hungary,Europe,Mean,11.6,,,,,,,,,,,,,,,,,,,
Latvia,Europe,Mean,11.5,,,,,,,,,,,,,,,,,,,
Croatia,Europe,Mean,11,,,,,,,,,,,,,,,,,,,
Montenegro,Europe,Mean,11.2,,,,,,,,,,,,,,,,,,,
Belarus,Europe,Mean,12,,,,,,,,,,,,,,,,,,,
Romania,Europe,Mean,10.8,,,,,,,,,,,,,,,,,,,
Bulgaria,Europe,Mean,10.6,,,,,,,,,,,,,,,,,,,
Serbia,Europe,Mean,10.5,,,,,,,,,,,,,,,,,,,
The former Yugoslav Republic of Macedonia,Europe,Mean,9.3,,,,,,,,,,,,,,,,,,,
Ukraine,Europe,Mean,11.3,,,,,,,,,,,,,,,,,,,
Albania,Europe,Mean,9.3,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Europe,Mean,8.3,,,,,,,,,,,,,,,,,,,
Moldova (Republic of),Europe,Mean,11.2,,,,,,,,,,,,,,,,,,,
Norway,Europe,Expected,17.5,,,,,,,,,,,,,,,,,,,
Switzerland,Europe,Expected,15.8,,,,,,,,,,,,,,,,,,,
Germany,Europe,Expected,16.5,,,,,,,,,,,,,,,,,,,
Ireland,Europe,Expected,18.6,,,,,,,,,,,,,,,,,,,
Liechtenstein,Europe,Expected,15,,,,,,,,,,,,,,,,,,,
Sweden,Europe,Expected,15.8,,,,,,,,,,,,,,,,,,,
United Kingdom,Europe,Expected,16.2,,,,,,,,,,,,,,,,,,,
Iceland,Europe,Expected,19,,,,,,,,,,,,,,,,,,,
Luxembourg,Europe,Expected,13.9,,,,,,,,,,,,,,,,,,,
Belgium,Europe,Expected,16.3,,,,,,,,,,,,,,,,,,,
France,Europe,Expected,16,,,,,,,,,,,,,,,,,,,
Austria,Europe,Expected,15.7,,,,,,,,,,,,,,,,,,,
Finland,Europe,Expected,17.1,,,,,,,,,,,,,,,,,,,
Slovenia,Europe,Expected,16.8,,,,,,,,,,,,,,,,,,,
Spain,Europe,Expected,17.3,,,,,,,,,,,,,,,,,,,
Italy,Europe,Expected,16,,,,,,,,,,,,,,,,,,,
Czech Republic,Europe,Expected,16.4,,,,,,,,,,,,,,,,,,,
Greece,Europe,Expected,17.6,,,,,,,,,,,,,,,,,,,
Estonia,Europe,Expected,16.5,,,,,,,,,,,,,,,,,,,
Cyprus,Europe,Expected,14,,,,,,,,,,,,,,,,,,,
Andorra,Europe,Expected,13.5,,,,,,,,,,,,,,,,,,,
Slovakia,Europe,Expected,15.1,,,,,,,,,,,,,,,,,,,
Poland,Europe,Expected,15.5,,,,,,,,,,,,,,,,,,,
Lithuania,Europe,Expected,16.4,,,,,,,,,,,,,,,,,,,
Malta,Europe,Expected,14.4,,,,,,,,,,,,,,,,,,,
Portugal,Europe,Expected,16.3,,,,,,,,,,,,,,,,,,,
Hungary,Europe,Expected,15.4,,,,,,,,,,,,,,,,,,,
Latvia,Europe,Expected,15.2,,,,,,,,,,,,,,,,,,,
Croatia,Europe,Expected,14.8,,,,,,,,,,,,,,,,,,,
Montenegro,Europe,Expected,15.2,,,,,,,,,,,,,,,,,,,
Belarus,Europe,Expected,15.7,,,,,,,,,,,,,,,,,,,
Romania,Europe,Expected,14.2,,,,,,,,,,,,,,,,,,,
Bulgaria,Europe,Expected,14.4,,,,,,,,,,,,,,,,,,,
Serbia,Europe,Expected,14.4,,,,,,,,,,,,,,,,,,,
The former Yugoslav Republic of Macedonia,Europe,Expected,13.4,,,,,,,,,,,,,,,,,,,
Ukraine,Europe,Expected,15.1,,,,,,,,,,,,,,,,,,,
Albania,Europe,Expected,11.8,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Europe,Expected,13.6,,,,,,,,,,,,,,,,,,,
Moldova (Republic of),Europe,Expected,11.9,,,,,,,,,,,,,,,,,,,
Denmark,North America,Mean,12.7,,,,,,,,,,,,,,,,,,,
Netherlands,North America,Mean,11.9,,,,,,,,,,,,,,,,,,,
United States,North America,Mean,12.9,,,,,,,,,,,,,,,,,,,
Canada,North America,Mean,13,,,,,,,,,,,,,,,,,,,
Bahamas,North America,Mean,10.9,,,,,,,,,,,,,,,,,,,
Barbados,North America,Mean,10.5,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,North America,Mean,9.2,,,,,,,,,,,,,,,,,,,
Panama,North America,Mean,9.3,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,North America,Mean,10.9,,,,,,,,,,,,,,,,,,,
Cuba,North America,Mean,11.5,,,,,,,,,,,,,,,,,,,
Costa Rica,North America,Mean,8.4,,,,,,,,,,,,,,,,,,,
Mexico,North America,Mean,8.5,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,North America,Mean,8.4,,,,,,,,,,,,,,,,,,,
Grenada,North America,Mean,8.6,,,,,,,,,,,,,,,,,,,
Saint Lucia,North America,Mean,9.3,,,,,,,,,,,,,,,,,,,
Dominica,North America,Mean,7.9,,,,,,,,,,,,,,,,,,,
Colombia,North America,Mean,7.3,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,North America,Mean,8.6,,,,,,,,,,,,,,,,,,,
Jamaica,North America,Mean,9.7,,,,,,,,,,,,,,,,,,,
Belize,North America,Mean,10.5,,,,,,,,,,,,,,,,,,,
Dominican Republic,North America,Mean,7.6,,,,,,,,,,,,,,,,,,,
El Salvador,North America,Mean,6.5,,,,,,,,,,,,,,,,,,,
Nicaragua,North America,Mean,6,,,,,,,,,,,,,,,,,,,
Guatemala,North America,Mean,5.6,,,,,,,,,,,,,,,,,,,
Honduras,North America,Mean,5.5,,,,,,,,,,,,,,,,,,,
Haiti,North America,Mean,4.9,,,,,,,,,,,,,,,,,,,
Denmark,North America,Expected,18.7,,,,,,,,,,,,,,,,,,,
Netherlands,North America,Expected,17.9,,,,,,,,,,,,,,,,,,,
United States,North America,Expected,16.5,,,,,,,,,,,,,,,,,,,
Canada,North America,Expected,15.9,,,,,,,,,,,,,,,,,,,
Bahamas,North America,Expected,12.6,,,,,,,,,,,,,,,,,,,
