Country,Continent,Gender,Estimated Gross National Income per Capita
C̫te d'Ivoire,Africa,Female,2146
Malawi,Africa,Female,679
Ethiopia,Africa,Female,1090
Gambia,Africa,Female,1267
Congo (Democratic Republic of the),Africa,Female,597
Liberia,Africa,Female,678
Guinea-Bissau,Africa,Female,1135
Mali,Africa,Female,961
Mozambique,Africa,Female,1040
Sierra Leone,Africa,Female,1582
Guinea,Africa,Female,877
Burkina Faso,Africa,Female,1325
Burundi,Africa,Female,693
Chad,Africa,Female,1657
Eritrea,Africa,Female,971
Central African Republic,Africa,Female,476
Niger,Africa,Female,491
Norway,Europe,Male,72825
Australia,Oceania,Male,50914
Switzerland,Europe,Male,69077
Denmark,North America,Male,51727
Netherlands,North America,Male,61641
Germany,Europe,Male,53290
Ireland,Europe,Male,49166
United States,North America,Male,63158
Canada,North America,Male,50853
New Zealand,Oceania,Male,41372
Singapore,Asia,Male,93699
"Hong Kong, China (SAR)",Asia,Male,72052
Liechtenstein,Europe,Male,0
Sweden,Europe,Male,51084
United Kingdom,Europe,Male,51628
