Country,Continent,Gender,Estimated Gross National Income per Capita
Norway,Europe,Female,57140
Australia,Oceania,Female,33688
Switzerland,Europe,Female,44132
Denmark,North America,Female,36439
Netherlands,North America,Female,29500
Germany,Europe,Female,34886
Ireland,Europe,Female,30104
United States,North America,Female,43054
Canada,North America,Female,33587
New Zealand,Oceania,Female,24309
Singapore,Asia,Female,59994
"Hong Kong, China (SAR)",Asia,Female,38060
Liechtenstein,Europe,Female,0
Sweden,Europe,Female,40222
United Kingdom,Europe,Female,27259
Iceland,Europe,Female,28792
Korea (Republic of),Asia,Female,21896
Israel,Asia,Female,22451
Luxembourg,Europe,Female,47723
Japan,Asia,Female,24975
Belgium,Europe,Female,31879
France,Europe,Female,31073
Austria,Europe,Female,29598
Finland,Europe,Female,31644
Slovenia,Europe,Female,22180
Spain,Europe,Female,24059
Italy,Europe,Female,22526
Czech Republic,Europe,Female,19929
Greece,Europe,Female,17288
Estonia,Europe,Female,20854
Brunei Darussalam,Asia,Female,54228
Cyprus,Europe,Female,22613
Qatar,Asia,Female,55123
Andorra,Europe,Female,0
Slovakia,Europe,Female,19903
Poland,Europe,Female,18423
Lithuania,Europe,Female,20955
Malta,Europe,Female,16435
Saudi Arabia,Asia,Female,20094
Argentina,South America,Female,14202
United Arab Emirates,Asia,Female,22391
Chile,South America,Female,14732
Portugal,Europe,Female,21259
Hungary,Europe,Female,17443
Bahrain,Asia,Female,20038
Latvia,Europe,Female,18437
Croatia,Europe,Female,16200
Kuwait,Asia,Female,42292
Montenegro,Europe,Female,11106
Belarus,Europe,Female,12922
Russian Federation,Asia,Female,17269
Oman,Asia,Female,14709
Romania,Europe,Female,15250
Uruguay,South America,Female,14721
Bahamas,North America,Female,17868
Kazakhstan,Asia,Female,15408
Barbados,North America,Female,10245
Antigua and Barbuda,North America,Female,0
Bulgaria,Europe,Female,12448
Palau,Oceania,Female,0
Panama,North America,Female,13699
Malaysia,Asia,Female,15635
Mauritius,Africa,Female,10541
Seychelles,Africa,Female,0
Trinidad and Tobago,North America,Female,19669
Serbia,Europe,Female,9697
Cuba,North America,Female,4912
Lebanon,Asia,Female,7334
Costa Rica,North America,Female,9680
Iran (Islamic Republic of),Asia,Female,4828
Venezuela (Bolivarian Republic of),South America,Female,12458
Turkey,Asia,Female,10024
Sri Lanka,Asia,Female,5452
Mexico,North America,Female,10233
Brazil,South America,Female,11393
Georgia,Asia,Female,4887
Saint Kitts and Nevis,North America,Female,0
Azerbaijan,Asia,Female,10120
Grenada,North America,Female,0
Jordan,Asia,Female,3587
The former Yugoslav Republic of Macedonia,Europe,Female,8796
Ukraine,Europe,Female,6518
Algeria,Africa,Female,3898
Peru,South America,Female,8040
Albania,Europe,Female,7217
Armenia,Asia,Female,6042
Bosnia and Herzegovina,Europe,Female,6514
Ecuador,South America,Female,8487
Saint Lucia,North America,Female,8018
China,Asia,Female,10128
Fiji,Oceania,Female,4274
Mongolia,Asia,Female,9029
Thailand,Asia,Female,11820
Dominica,North America,Female,0
Libya,Africa,Female,7427
Tunisia,Africa,Female,4748
Colombia,North America,Female,9785
Saint Vincent and the Grenadines,North America,Female,7283
Jamaica,North America,Female,5820
Tonga,Oceania,Female,3796
Belize,North America,Female,5034
Dominican Republic,North America,Female,8860
Suriname,South America,Female,10241
Maldives,Asia,Female,8531
Samoa,Oceania,Female,3416
Botswana,Africa,Female,15179
Moldova (Republic of),Europe,Female,4599
Egypt,Africa,Female,4928
Turkmenistan,Asia,Female,8725
Gabon,Africa,Female,13527
Indonesia,Asia,Female,6485
Paraguay,South America,Female,5576
"Palestine, State of",Asia,Female,1580
Uzbekistan,Asia,Female,3811
Philippines,Asia,Female,5382
El Salvador,North America,Female,5497
South Africa,Africa,Female,8713
Viet Nam,Asia,Female,4624
Bolivia (Plurinational State of),South America,Female,4383
Kyrgyzstan,Asia,Female,2122
Iraq,Asia,Female,4279
Cabo Verde,Africa,Female,4098
Micronesia (Federated States of),Oceania,Female,0
Guyana,South America,Female,4164
Nicaragua,North America,Female,2967
Morocco,Africa,Female,3222
Namibia,Africa,Female,7672
Guatemala,North America,Female,5021
Tajikistan,Asia,Female,2014
India,Asia,Female,2116
Honduras,North America,Female,2365
Bhutan,Asia,Female,5733
Timor-Leste,Asia,Female,3122
Syrian Arab Republic,Asia,Female,864
Vanuatu,Oceania,Female,2141
Dem. Rep. Congo,Africa,Female,5165
Kiribati,Oceania,Female,0
Equatorial Guinea,Africa,Female,17073
Zambia,Africa,Female,3019
Ghana,Africa,Female,3200
Lao People's Democratic Republic,Asia,Female,4086
Bangladesh,Asia,Female,2278
Cambodia,Asia,Female,2526
Sao Tome and Principe,Africa,Female,1886
Kenya,Africa,Female,2255
Nepal,Asia,Female,1956
Pakistan,Asia,Female,1450
Myanmar,Asia,Female,3873
Angola,Africa,Female,5497
Swaziland,Africa,Female,3894
Tanzania (United Republic of),Africa,Female,2320
Nigeria,Africa,Female,4052
Cameroon,Africa,Female,2266
Madagascar,Africa,Female,1098
Zimbabwe,Africa,Female,1387
Mauritania,Africa,Female,1625
Solomon Islands,Oceania,Female,1046
Papua New Guinea,Oceania,Female,2145
Comoros,Africa,Female,778
Yemen,Asia,Female,1595
Lesotho,Africa,Female,2613
Togo,Africa,Female,1084
Haiti,North America,Female,1379
Rwanda,Africa,Female,1312
Uganda,Africa,Female,1226
Benin,Africa,Female,1493
Sudan,Africa,Female,1882
Djibouti,Africa,Female,2019
South Sudan,Africa,Female,0
Senegal,Africa,Female,1657
Afghanistan,Asia,Female,506
