Country,Continent,Gender,Life Expectancy at Birth
Azerbaijan,Asia,Male,67.7
Grenada,North America,Male,71
Jordan,Asia,Male,72.4
The former Yugoslav Republic of Macedonia,Europe,Male,73.1
Ukraine,Europe,Male,66
Algeria,Africa,Male,72.5
Peru,South America,Male,71.9
Albania,Europe,Male,75.4
Armenia,Asia,Male,70.9
Bosnia and Herzegovina,Europe,Male,74
Ecuador,South America,Male,73.2
Saint Lucia,North America,Male,72.4
China,Asia,Male,74.3
Fiji,Oceania,Male,67.2
Mongolia,Asia,Male,65.3
Thailand,Asia,Male,71.1
Dominica,North America,Male,0
Libya,Africa,Male,68.9
Tunisia,Africa,Male,72.5
Colombia,North America,Male,70.5
Saint Vincent and the Grenadines,North America,Male,70.9
Jamaica,North America,Male,73.3
Tonga,Oceania,Male,69.9
Belize,North America,Male,67.4
Dominican Republic,North America,Male,70.4
Suriname,South America,Male,68
Maldives,Asia,Male,75.8
Samoa,Oceania,Male,70.4
Botswana,Africa,Male,62.1
Moldova (Republic of),Europe,Male,67.4
Egypt,Africa,Male,69
Turkmenistan,Asia,Male,61.5
Gabon,Africa,Male,63.8
Indonesia,Asia,Male,66.9
Paraguay,South America,Male,70.8
"Palestine, State of",Asia,Male,71
Uzbekistan,Asia,Male,65
Philippines,Asia,Male,64.9
El Salvador,North America,Male,68.3
South Africa,Africa,Male,55.2
Viet Nam,Asia,Male,71
Bolivia (Plurinational State of),South America,Male,65.9
Kyrgyzstan,Asia,Male,66.6
Iraq,Asia,Male,67.2
Cabo Verde,Africa,Male,71.4
Micronesia (Federated States of),Oceania,Male,68.1
Guyana,South America,Male,64.2
Nicaragua,North America,Male,71.9
Morocco,Africa,Male,73
Namibia,Africa,Male,62.1
Guatemala,North America,Male,68.3
Tajikistan,Asia,Male,66.2
India,Asia,Male,66.6
Honduras,North America,Male,70.7
Bhutan,Asia,Male,69.2
Timor-Leste,Asia,Male,66.5
Syrian Arab Republic,Asia,Male,64
Vanuatu,Oceania,Male,69.9
Congo,Africa,Male,60.8
Kiribati,Oceania,Male,62.8
Equatorial Guinea,Africa,Male,56.3
Zambia,Africa,Male,58.2
Ghana,Africa,Male,60.4
Lao People's Democratic Republic,Asia,Male,64.8
Bangladesh,Asia,Male,70.4
Cambodia,Asia,Male,66.2
Sao Tome and Principe,Africa,Male,64.4
Kenya,Africa,Male,59.9
Nepal,Asia,Male,68.2
Pakistan,Asia,Male,65.3
Myanmar,Asia,Male,63.9
Angola,Africa,Male,50.8
Swaziland,Africa,Male,49.6
Tanzania (United Republic of),Africa,Male,63.5
Nigeria,Africa,Male,52.4
Cameroon,Africa,Male,54.4
Madagascar,Africa,Male,63.6
Zimbabwe,Africa,Male,56.2
Mauritania,Africa,Male,61.6
Solomon Islands,Oceania,Male,66.5
Papua New Guinea,Oceania,Male,60.5
Comoros,Africa,Male,61.6
Yemen,Asia,Male,62.5
Lesotho,Africa,Male,49.6
Togo,Africa,Male,58.9
Haiti,North America,Male,60.7
Rwanda,Africa,Male,61.1
Uganda,Africa,Male,56.7
Benin,Africa,Male,58.1
Sudan,Africa,Male,62
Djibouti,Africa,Male,60.4
South Sudan,Africa,Male,54.7
Senegal,Africa,Male,64.5
Afghanistan,Asia,Male,59.2
C̫te d'Ivoire,Africa,Male,50.7
Malawi,Africa,Male,61.7
Ethiopia,Africa,Male,62.2
Gambia,Africa,Male,58.9
Congo (Democratic Republic of the),Africa,Male,57.2
Liberia,Africa,Male,59.9
Guinea-Bissau,Africa,Male,53.4
Mali,Africa,Male,58.2
Mozambique,Africa,Male,53.6
Sierra Leone,Africa,Male,50.4
Guinea,Africa,Male,58.3
Burkina Faso,Africa,Male,57.3
Burundi,Africa,Male,54.8
Chad,Africa,Male,50.5
Eritrea,Africa,Male,61.6
Central African Republic,Africa,Male,48.8
Niger,Africa,Male,60.6
